Aou,Seq,EnglishAbbrev,FrenchName,SpanishName,Code,EnglishFull,EnglishNoSpaces,Genus,Species,SpFamilyID,date_creat,ed,who_created,date_updat,ed,who_updated,Comm,ents
00350,1812,Great Skua,Grand Labbe,Stercorarius skua,GRSK,Great Skua,GreatSkua,Stercorarius,skua,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00352,1816,S. Polar Skua,Labbe de McCormick,Stercorarius maccormicki,SPSK,South Polar Skua,SouthPolarSkua,Stercorarius,maccormicki,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00360,1820,Pomarine Jaeger,Labbe pomarin,Stercorarius pomarinus,POJA,Pomarine Jaeger,PomarineJaeger,Stercorarius,pomarinus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00370,1824,Parasitic Jaeger,Labbe parasite,Stercorarius parasiticus,PAJA,Parasitic Jaeger,ParasiticJaeger,Stercorarius,parasiticus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00380,1828,Long-tailed Jaeger,Labbe à longue queue,Stercorarius longicaudus,LTJA,Long-tailed Jaeger,LongtailedJaeger,Stercorarius,longicaudus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00387,1832,unid Jaeger,labbe sp.,sp,UJAE,unid. Jaeger,unid.Jaeger,Stercorarius,sp,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00390,1944,Ivory Gull,Mouette blanche,Pagophila eburnea,IVGU,Ivory Gull,IvoryGull,Pagophila,eburnea,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00400,1932,Black-Leg Kittiwake,Mouette tridactyle,Rissa tridactyla,BLKI,Black-legged Kittiwake,BlackleggedKittiwake,Rissa,tridactyla,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00410,1936,Red-Legged Kittiwake,Mouette des brumes,Rissa brevirostris,RLKI,Red-legged Kittiwake,RedleggedKittiwake,Rissa,brevirostris,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00420,1916,Glaucous Gull,Goéland bourgmestre,Larus hyperboreus,GLGU,Glaucous Gull,GlaucousGull,Larus,hyperboreus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00430,1888,Iceland Gull,Goéland arctique,Larus glaucoides,ICGU,Iceland Gull,IcelandGull,Larus,glaucoides,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00431,1884,Thayer's Gull,Goéland de Thayer,Larus thayeri,THGU,Thayer's Gull,ThayersGull,Larus,thayeri,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00440,1908,Glaucous-winged Gull,Goéland à ailes grises,Larus glaucescens,GWGU,Glaucous-winged Gull,GlaucouswingedGull,Larus,glaucescens,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00470,1920,Grt Black-Backed Gull,Goéland marin,Larus marinus,GBBG,Great Black-backed Gull,GreatBlackbackedGull,Larus,marinus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00480,1896,Slaty-backed Gull,Goéland à manteau ardoisé,Larus schistisagus,SBGU,Slaty-backed Gull,SlatybackedGull,Larus,schistisagus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00490,1904,Western Gull,Goéland d'Audubon,Larus occidentalis,WEGU,Western Gull,WesternGull,Larus,occidentalis,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00491,1900,Yellow-footed Gull,NULL,Larus livens,YFGU,Yellow-footed Gull,YellowfootedGull,Larus,livens,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00495,1912,hyb. Gull (Wst x Gl-Wg),hybride Goéland à ailes grises\d'Audubon,Larus glaucescens X occidentalis,WGWH,hybrid Western Gull x Glaucous-winged Gull,hybridWesternGullxGlaucouswingedGull,Larus,glaucescens X occidentalis,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00500,1892,Lr. Black-Backed Gull,Goéland brun,Larus fuscus,LBBG,Lesser Black-backed Gull,LesserBlackbackedGull,Larus,fuscus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00510,1880,Herring Gull,Goéland argenté,Larus argentatus,HERG,Herring Gull,HerringGull,Larus,argentatus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00530,1876,California Gull,Goéland de Californie,Larus californicus,CAGU,California Gull,CaliforniaGull,Larus,californicus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00534,1948,unid Gull,goéland sp.,Larid sp,UNGU,unid. Gull,unid.Gull,Larid,sp,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00540,1872,Ring-billed Gull,Goéland à bec cerclé,Larus delawarensis,RBGU,Ring-billed Gull,RingbilledGull,Larus,delawarensis,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
